group,lambda0_init,alpha0_init,theta_hat,gamma_hat,lambda0_mle,alpha_mle,theta_acf,gamma_acf,lambda0_diff,alpha_diff,theta_diff,gamma_diff
ALL,22.745633789645154,0.9188280249138175,0.8400863742899627,0.5089581516717917,18.1,1.4,0.89,0.64,4.645633789645153,-0.48117197508618237,-0.049913625710037324,-0.1310418483282083
SG,58.5288088156419,0.8552712826443558,0.8126936761742112,0.5664712940817721,42.4,1.6,0.88,0.63,16.128808815641904,-0.7447287173556443,-0.06730632382578883,-0.0635287059182279
IG,2.090131620842137,1.202780407761581,0.7457001354199612,0.6850324338918193,0.6,2.5,0.84,0.74,1.4901316208421371,-1.297219592238419,-0.0942998645800388,-0.054967566108180654
