lag,acf
1,0.6223328764527407
2,0.6825656544985954
3,0.5071664979385823
4,0.4968710926485326
5,0.45209225409785864
6,0.4596487124272436
7,0.4216127624022947
8,0.4234335335191614
9,0.36214742991142435
10,0.34269476512505614
11,0.29918954199570547
12,0.26811699389530386
13,0.21722023722745656
14,0.16297466397690266
15,0.11090222582679482
16,0.10915845652017694
17,0.06277408092878897
18,-0.024147235377742444
19,-8.12321757009674e-05
20,-0.1055901884471963
